Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final	Total
OG0000048	25	0	0	0	0	0	0	0	25
OG0000049	25	0	0	0	0	0	0	0	25
OG0000050	25	0	0	0	0	0	0	0	25
OG0000051	25	0	0	0	0	0	0	0	25
OG0000052	25	0	0	0	0	0	0	0	25
OG0000053	25	0	0	0	0	0	0	0	25
OG0000054	25	0	0	0	0	0	0	0	25
OG0000055	25	0	0	0	0	0	0	0	25
OG0000056	25	0	0	0	0	0	0	0	25
OG0000057	25	0	0	0	0	0	0	0	25
OG0000058	25	0	0	0	0	0	0	0	25
OG0000059	25	0	0	0	0	0	0	0	25
OG0000060	25	0	0	0	0	0	0	0	25
OG0000061	25	0	0	0	0	0	0	0	25
OG0000062	25	0	0	0	0	0	0	0	25
OG0000063	25	0	0	0	0	0	0	0	25
OG0000064	25	0	0	0	0	0	0	0	25
OG0000065	25	0	0	0	0	0	0	0	25
OG0000066	25	0	0	0	0	0	0	0	25
OG0000067	25	0	0	0	0	0	0	0	25
OG0000068	25	0	0	0	0	0	0	0	25
OG0000069	25	0	0	0	0	0	0	0	25
OG0000070	25	0	0	0	0	0	0	0	25
OG0000071	25	0	0	0	0	0	0	0	25
OG0000072	25	0	0	0	0	0	0	0	25
OG0000073	25	0	0	0	0	0	0	0	25
OG0000074	25	0	0	0	0	0	0	0	25
OG0000075	25	0	0	0	0	0	0	0	25
OG0000076	25	0	0	0	0	0	0	0	25
OG0000077	25	0	0	0	0	0	0	0	25
OG0000078	25	0	0	0	0	0	0	0	25
OG0000079	25	0	0	0	0	0	0	0	25
OG0000080	25	0	0	0	0	0	0	0	25
OG0000081	25	0	0	0	0	0	0	0	25
OG0000082	25	0	0	0	0	0	0	0	25
OG0000083	25	0	0	0	0	0	0	0	25
OG0000084	0	0	25	0	0	0	0	0	25
OG0000085	0	0	25	0	0	0	0	0	25
OG0000086	0	0	25	0	0	0	0	0	25
OG0000087	0	0	25	0	0	0	0	0	25
OG0000088	0	0	25	0	0	0	0	0	25
OG0000089	0	0	25	0	0	0	0	0	25
OG0000090	0	0	25	0	0	0	0	0	25
OG0000091	0	0	25	0	0	0	0	0	25
OG0000092	0	0	25	0	0	0	0	0	25
OG0000093	0	0	25	0	0	0	0	0	25
OG0000094	0	0	25	0	0	0	0	0	25
OG0000095	0	0	25	0	0	0	0	0	25
OG0000096	0	0	25	0	0	0	0	0	25
OG0000097	0	0	25	0	0	0	0	0	25
OG0000098	0	0	25	0	0	0	0	0	25
OG0000099	0	0	25	0	0	0	0	0	25
OG0000100	0	0	25	0	0	0	0	0	25
OG0000101	0	0	25	0	0	0	0	0	25
OG0000102	0	0	25	0	0	0	0	0	25
OG0000103	0	0	25	0	0	0	0	0	25
OG0000104	0	0	25	0	0	0	0	0	25
OG0000105	0	0	25	0	0	0	0	0	25
OG0000106	0	0	25	0	0	0	0	0	25
OG0000107	0	0	25	0	0	0	0	0	25
OG0000108	0	0	25	0	0	0	0	0	25
OG0000109	0	0	25	0	0	0	0	0	25
OG0000110	0	0	25	0	0	0	0	0	25
OG0000111	0	0	25	0	0	0	0	0	25
OG0000112	0	0	25	0	0	0	0	0	25
OG0000113	0	0	25	0	0	0	0	0	25
OG0000114	0	0	25	0	0	0	0	0	25
OG0000115	0	0	25	0	0	0	0	0	25
OG0000116	0	0	25	0	0	0	0	0	25
OG0000117	0	0	25	0	0	0	0	0	25
OG0000118	0	0	25	0	0	0	0	0	25
OG0000119	0	0	25	0	0	0	0	0	25
OG0000120	0	0	25	0	0	0	0	0	25
OG0000121	0	0	25	0	0	0	0	0	25
OG0000122	0	0	25	0	0	0	0	0	25
OG0000123	0	0	25	0	0	0	0	0	25
OG0000124	0	0	25	0	0	0	0	0	25
OG0000125	0	0	25	0	0	0	0	0	25
OG0000126	0	0	25	0	0	0	0	0	25
OG0000127	0	0	25	0	0	0	0	0	25
OG0000128	0	0	25	0	0	0	0	0	25
OG0000129	0	0	25	0	0	0	0	0	25
OG0000130	0	0	25	0	0	0	0	0	25
OG0000131	0	0	25	0	0	0	0	0	25
OG0000132	11	0	11	0	1	1	0	0	24
OG0000133	11	0	11	0	1	1	0	0	24
OG0000134	1	0	1	22	0	0	0	0	24
OG0000135	0	21	0	1	0	1	0	0	23
OG0000136	22	0	0	0	0	0	0	0	22
OG0000137	0	0	22	0	0	0	0	0	22
OG0000138	0	0	0	1	0	0	21	0	22
OG0000139	4	0	4	3	9	1	0	0	21
OG0000140	10	0	10	0	1	0	0	0	21
OG0000141	1	1	1	8	1	4	0	3	19
OG0000142	19	0	0	0	0	0	0	0	19
OG0000143	9	0	9	1	0	0	0	0	19
OG0000144	0	0	19	0	0	0	0	0	19
OG0000145	0	0	0	19	0	0	0	0	19
OG0000146	8	0	8	1	1	0	0	0	18
OG0000147	8	0	8	2	0	0	0	0	18
OG0000148	18	0	0	0	0	0	0	0	18
OG0000149	18	0	0	0	0	0	0	0	18
OG0000150	0	1	0	1	8	8	0	0	18
OG0000151	0	0	18	0	0	0	0	0	18
OG0000152	0	0	18	0	0	0	0	0	18
OG0000153	0	0	0	18	0	0	0	0	18
OG0000154	0	0	0	18	0	0	0	0	18
OG0000155	0	0	0	18	0	0	0	0	18
OG0000156	0	0	0	18	0	0	0	0	18
OG0000157	0	0	0	18	0	0	0	0	18
OG0000158	0	0	0	18	0	0	0	0	18
OG0000159	8	0	8	0	1	0	0	0	17
OG0000160	17	0	0	0	0	0	0	0	17
OG0000161	0	0	17	0	0	0	0	0	17
OG0000162	0	0	0	0	16	0	1	0	17
OG0000163	16	0	0	0	0	0	0	0	16
OG0000164	16	0	0	0	0	0	0	0	16
OG0000165	16	0	0	0	0	0	0	0	16
OG0000166	16	0	0	0	0	0	0	0	16
OG0000167	16	0	0	0	0	0	0	0	16
OG0000168	16	0	0	0	0	0	0	0	16
OG0000169	16	0	0	0	0	0	0	0	16
OG0000170	16	0	0	0	0	0	0	0	16
OG0000171	14	0	0	2	0	0	0	0	16
OG0000172	0	16	0	0	0	0	0	0	16
OG0000173	0	0	16	0	0	0	0	0	16
OG0000174	0	0	16	0	0	0	0	0	16
OG0000175	0	0	16	0	0	0	0	0	16
OG0000176	0	0	16	0	0	0	0	0	16
OG0000177	0	0	16	0	0	0	0	0	16
OG0000178	0	0	16	0	0	0	0	0	16
OG0000179	0	0	16	0	0	0	0	0	16
OG0000180	0	0	16	0	0	0	0	0	16
OG0000181	0	0	0	0	0	0	16	0	16
OG0000182	15	0	0	0	0	0	0	0	15
OG0000183	0	0	15	0	0	0	0	0	15
OG0000184	0	0	0	15	0	0	0	0	15
OG0000185	0	0	0	15	0	0	0	0	15
OG0000186	0	0	0	0	1	0	14	0	15
OG0000187	1	0	1	0	6	6	0	0	14
OG0000188	7	0	7	0	0	0	0	0	14
OG0000189	14	0	0	0	0	0	0	0	14
OG0000190	0	0	14	0	0	0	0	0	14
OG0000191	0	0	14	0	0	0	0	0	14
OG0000192	13	0	0	0	0	0	0	0	13
OG0000193	13	0	0	0	0	0	0	0	13
OG0000194	0	0	13	0	0	0	0	0	13
OG0000195	0	0	13	0	0	0	0	0	13
OG0000196	0	0	0	3	4	6	0	0	13
OG0000197	0	0	0	13	0	0	0	0	13
OG0000198	0	0	0	13	0	0	0	0	13
OG0000199	0	0	0	13	0	0	0	0	13
OG0000200	0	0	0	13	0	0	0	0	13
OG0000201	0	0	0	13	0	0	0	0	13
OG0000202	0	0	0	13	0	0	0	0	13
OG0000203	1	0	1	2	4	4	0	0	12
OG0000204	12	0	0	0	0	0	0	0	12
OG0000205	12	0	0	0	0	0	0	0	12
OG0000206	12	0	0	0	0	0	0	0	12
